role,company,years_of_exp,city,country,gender,currency,salary,mode,period,compensation,verified
Senior UX Writer,Purchase to unlock 👆,3,Bekasi,ID,Male,IDR,20000000,Net,Monthly,,
Data Analytics,Purchase to unlock 👆,3,Jakarta,ID,Male,IDR,24,Net,Monthly,"Medical, communication, transport allowance",
Product Designer,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,17000000,Net,Monthly,"Private Insurance, Lunch",
Frontend Dev,Purchase to unlock 👆,2,Malang,ID,Male,IDR,4000000,Net,Monthly,,
UX Writer,Purchase to unlock 👆,5,Jakarta,ID,Female,IDR,29000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,1,Jakarta,ID,Female,IDR,14000000,Gross,Monthly,,
Consultant,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,7000000,Gross,Monthly,"Health insurance (inpatient & outpatient), glasses (after 1 year of employment; lenses: every year; frame: every 2 years), gym (reimbursed), paid leave, sick leave, maternity leave, period leave, taxi vouchers (only work related), laptop (during employment)",
Data Analyst,Purchase to unlock 👆,3,Jakarta,ID,Prefer not to tell,IDR,9000000,Net,Monthly,,
Junior Backend Engineer,Purchase to unlock 👆,1,Yogyakarta,ID,Prefer not to tell,IDR,6000000,Gross,Monthly,,
Data Scientist,Purchase to unlock 👆,6,Jakarta,ID,Male,IDR,14500000,Gross,Monthly,,
KOL Specialist,Purchase to unlock 👆,1,Jakarta,ID,Prefer not to tell,IDR,5500000,Gross,Monthly,,Verified
Senior DevOps Engineer - Previously SystemEnginner and Lecturer,Purchase to unlock 👆,13,Jakarta,ID,Male,IDR,37799000,Net,Monthly,Medical Insurance,
Human Resources,Purchase to unlock 👆,1,Yogyakarta,ID,Male,IDR,3000000,Gross,Monthly,Inpatient insurance,
Parts Business Development,Purchase to unlock 👆,7,Jakarta,ID,Male,IDR,9000000,Net,Monthly,,
Business Analyst,Purchase to unlock 👆,2,Jakarta,ID,Male,IDR,15000000,Gross,Monthly,Healthcare a month salary for a year 15 days off,
remote software developer,Purchase to unlock 👆,6,malang,ID,Male,USD,450,Net,Monthly,,
Full-stack Web Developer,Purchase to unlock 👆,5,Surabaya,ID,Prefer not to tell,USD,3000,Net,Monthly,,
Product Engineer,Gojek,3,jabodetabek,ID,Prefer not to tell,IDR,20000000,Net,Monthly,,
Test Engineer,Purchase to unlock 👆,0,Yogyakarta,ID,Male,IDR,5200000,Net,Monthly,Insurance,
Software Engineer,Gojek,5,Yogyakarta,ID,Prefer not to tell,IDR,28000000,Net,Monthly,,
Purchasing,Purchase to unlock 👆,4,Jakerta,ID,Male,IDR,16000000,Gross,Monthly,,
